latitude,longitude,name,desc,color,source,precision
36.13293,-115.135608,"3186 S Maryland Parkway, Las Vegas, NV, 89109","3186 S Maryland Pkwy, Las Vegas, NV 89109",,Bing Maps,address
36.215526,-115.248786,"3100 N Tenaya Way, Las Vegas, NV, 89128","3100 N Tenaya Way, Las Vegas, NV 89128",,Bing Maps,address
29.700398,-95.408918,"7401 South Main, Houston, TX, 77030","7401 S Main St, Houston, TX 77030",,Bing Maps,address
27.775079,-97.404992,"1533 South Brownlee, Corpus Christi, TX, 78404","1533 S Brownlee Blvd, Corpus Christi, TX 78404",,Bing Maps,address
29.729133,-95.594271,"12141 Richmond Ave, Houston, TX, 77082","12141 Richmond Ave, Houston, TX 77082",,Bing Maps,address
29.6814861,-95.4032288,"7600 Fannin, Houston, TX, 77054","77054, TX",,Bing Maps,postcode
25.977704,-97.514799,"100 A Alton Gloor Blvd, Brownsville, TX, 78526","100 E Alton Gloor Blvd, Brownsville, TX 78526",,Bing Maps,address
30.08738,-95.623637,"605 Holderrieth Blvd, Tomball, TX, 77375","605 Holderrieth Blvd, Tomball, TX 77375",,Bing Maps,address
26.186435,-98.220743,"101 E Ridge Rd, McAllen, TX, 78503","101 E Ridge Rd, McAllen, TX 78503",,Bing Maps,address
29.577552,-95.390203,"11100 Shadow Creek Parkway, Pearland, TX, 77584","11100 Shadow Creek Pkwy, Pearland, TX 77584",,Bing Maps,address
29.72287,-95.387242,"1313 Hermann Drive, Houston, TX, 77004","1313 Hermann Dr, Houston, TX 77004",,Bing Maps,address
29.72352,-95.386963,"1300 Binz Street, Houston, TX, 77004","1300 Binz St, Houston, TX 77004",,Bing Maps,address
30.020709,-95.442699,"710 Cypress Creek Parkway, Houston, TX, 77090","710 Cypress Creek Pkwy, Houston, TX 77090",,Bing Maps,address
29.927115,-95.589571,"10655 Steepletop Drive, Houston, TX, 77065","10655 Steepletop Dr, Houston, TX 77065",,Bing Maps,address
29.925764,-95.631525,"21214 NW Freeway, Cypress, TX, 77429","21214 Northwest Fwy, Cypress, TX 77429",,Bing Maps,address
29.39406,-94.985834,"6801 E.F. Lowry Expwy, Texas City, TX, 77591","6801 Emmett F Lowry Expy, Texas City, TX 77591",,Bing Maps,address
30.050084,-95.254954,"22999 Hwy 59 North, Kingwood, TX, 77339","22999 Highway 59, Houston, TX 77339",,Bing Maps,address
27.6941335,-97.3435682,"7105 S Padre Island Dr, Corpus Christi, TX, 78412","7105 S Padre Island Dr, Corpus Christi, TX 78412",,Bing Maps,address
29.648278,-95.603226,12610 West Airport Blvd,"12610 W Airport Blvd, Sugar Land, TX 77478",,Bing Maps,address
29.6220226,-95.6056747,"Suite 150"", Sugarland, TX, 77478","77478, TX",,Bing Maps,postcode
30.284919,-95.46781,"504 Medical Center Blvd, Conroe, TX, 77304","504 Medical Center Blvd, Conroe, TX 77304",,Bing Maps,address
29.5417633,-95.1418915,"500 Medical Center Blvd, Webster, TX, 77598","77598, TX",,Bing Maps,postcode
29.661177,-95.183836,"4000 Spencer Hwy, Pasadena, TX, 77504","4000 Spencer Hwy, Pasadena, TX 77504",,Bing Maps,address
42.0667513,-87.7092165,"2555 Park Plaza, Nashville, TN, 37202","2555 Park Pl, Evanston, IL 60201",,Bing Maps,address
36.149431,-86.819361,"2555 Park Plaza, Nashville, TN, 37203","2555 Park Plaza, Nashville, TN 37203",,Bing Maps,address
36.162176,-86.791246,"1100 Charlotte Ave Suite 1100, Nashville, TN, 37203","1100 Charlotte Ave, Nashville, TN 37203",,Bing Maps,address
36.1584587,-86.7830276,"One Park Plaza, Nashville, TN, 37202","37202, TN",,Bing Maps,postcode
32.9421994,-96.9519315,"10030 Macarthur Blvd, Irving, TX, 75063","10030 N MacArthur Blvd, Irving, TX 75063",,Bing Maps,address
39.1036987,-84.5136108,"xxx, Cincinnati, OH, x","Cincinnati, OH",,Bing Maps,city/town
33.964524,-84.225712,"5707 Peachtree Pkwy., Norcross, GA, 30092","5707 Peachtree Pkwy, Peachtree Corners, GA 30092",,Bing Maps,address
29.691934,-95.556096,"8101 W. Sam Houston Parkway, Houston, TX, 77072","8101 W Sam Houston Pkwy S, Houston, TX 77072",,Bing Maps,address
36.0945138,-86.7019684,"552 Metroplex Dr., Nashville, TN, 37211","552 Metroplex Dr, Nashville, TN 37211",,Bing Maps,address
30.1878917,-81.7158915,"335 Crossing Blvd, Orange Park, FL, 32073","335 Crossing Blvd, Orange Park, FL 32073",,Bing Maps,address
37.506071,-77.528098,"7300 Beaufont Springs Dr., Richmond, VA, 23225","7300 Beaufont Spring Dr, Richmond, VA 23225",,Bing Maps,address
27.888135,-82.724974,"6451 - 126th Avenue North, Largo, FL, 33773","6451 126th Ave N, Largo, FL 33773",,Bing Maps,address
29.551604,-98.598884,"6000 Northwest Pkwy. Ste 124, San Antonio, TX, 78249","6000 Northwest Pkwy, San Antonio, TX 78249",,Bing Maps,address
38.937466,-94.726519,"10500 Quivira Road, Overland Park, KS, 66215","10500 Quivira Rd, Overland Park, KS 66215",,Bing Maps,address
39.189729,-93.87724,"1500 State Street, Lexington, MO, 64067","1500 State St, Lexington, MO 64067",,Bing Maps,address
38.903733,-94.332914,"2100 SE Blue Parkway, Lee's Summit, MO, 64063","2100 SE Blue Pkwy, Lees Summit, MO 64063",,Bing Maps,address
38.910605,-94.651912,"5721 W. 119th Street, Overland Park, KS, 66209","5721 W 119th St, Overland Park, KS 66209",,Bing Maps,address
38.937466,-94.726519,"10500 Quivira, Overland Park, KS, 66215","10500 Quivira Rd, Overland Park, KS 66215",,Bing Maps,address
39.0456488,-94.3508578,"19600 E 39th Street, Independence, MO, 64057","19600 E 39th Pl S, Independence, MO 64057",,Bing Maps,address
30.455101,-90.172528,"129 New Camellia Bldv, Covington, LA, 70433","129 New Camellia Blvd, Covington, LA 70433",,Bing Maps,address
38.8138366,-94.5020291,"17065 S. 71 Highway, Kansas City, MO, 64012","17065 S Highway 71, Belton, MO 64012",,Bing Maps,address
39.008818,-94.558073,"2316 E. Meyer Blvd., Kansas City, MO, 64132","2316 E Meyer Blvd, Kansas City, MO 64132",,Bing Maps,address
40.686067,-111.857033,"1200 E 3900 South, Salt Lake City, UT, 84124","1200 E 3900 S, Salt Lake City, UT 84124",,Bing Maps,address
40.6812055,-111.9793016,"3715 W. 4100 S, West Valley, UT, 84120","3715 S 4100 W, West Valley City, UT 84120",,Bing Maps,address
43.654504,-116.694111,"1717 Arlington Ave, Caldwell, ID, 83605","1717 Arlington Ave, Caldwell, ID 83605",,Bing Maps,address
